Index,Type,Name,Data CCQE,MC CCQE,MC Truth
1,Double_t,eventID,1,1,1
2,Int_t,physEvtNum,1,1,0
3,Int_t,n_hyps,1,1,0
4,Int_t,processType,1,1,0
5,Int_t,primaryPart,1,1,0
6,Int_t,n_slices,1,1,0
7,Int_t,slice_numbers,1,1,0
8,Int_t,shared_slice,1,1,0
9,Double_t[4],vtx,1,1,0
10,Double_t[4],vtxErr,1,1,0
11,Double_t[4],E,1,1,0
12,Int_t,reco_vertex_batch,1,1,0
13,Bool_t,found_truth,1,1,0
14,Bool_t,phys_front_activity,1,1,0
15,Bool_t,phys_energy_in_road_upstream_is_rockmuon_consistent,1,1,0
16,Bool_t,rock_muons_removed,1,1,0
17,Bool_t,minos_track_match,1,1,0
18,Bool_t,minos_stub_match,1,1,0
19,Bool_t,unknown_helicity,1,1,0
20,Bool_t,minos_track_inside_partial_plane,1,1,0
21,Bool_t,prim_vtx_has_misassigned_track_direction,1,1,0
22,Bool_t,prim_vtx_has_broken_track,1,1,0
23,Int_t,FittedMichel_nclustermatchmichel,1,1,0
24,Int_t,ID_Hits_Post_Long,1,1,0
25,Int_t,NeutronMaxClusters,1,1,0
26,Int_t,NneutronClusters0,1,1,0
27,Int_t,NneutronClusters1,1,1,0
28,Int_t,NneutronClusters2,1,1,0
29,Int_t,NneutronClusters3,1,1,0
30,Int_t,PassNeutronMaxClusterCut,1,1,0
31,Int_t,broken_track_most_us_plane,1,1,0
32,Int_t,event_unused_start_vertices,1,1,0
33,Int_t,event_used_start_vertices,1,1,0
34,Int_t,has_interaction_vertex,1,1,0
35,Int_t,has_single_proton,1,1,0
36,Int_t,improved_nmichel,1,1,0
37,Int_t,multiplicity,1,1,0
38,Int_t,muon_fuzz_energy,1,1,0
39,Int_t,muon_is_minos_match_stub,1,1,0
40,Int_t,muon_is_minos_match_track,1,1,0
41,Int_t,n_anchored_long_trk_prongs,1,1,0
42,Int_t,n_anchored_short_trk_prongs,1,1,0
43,Int_t,n_iso_trk_prongs,1,1,0
44,Int_t,n_minos_matches,1,1,0
45,Int_t,n_muon_iso_blobs,1,1,0
46,Int_t,n_nonvtx_iso_blobs,1,1,0
47,Int_t,n_nonvtx_iso_blobs_all,1,1,0
48,Int_t,part_response_recoil_nClus,1,1,0
49,Int_t,pass_CCQENu_precuts,1,1,0
50,Int_t,phys_energy_in_road_downstream_nplanes,1,1,0
51,Int_t,phys_energy_in_road_upstream_nplanes,1,1,0
52,Int_t,phys_n_dead_discr_pair,1,1,0
53,Int_t,phys_n_dead_discr_pair_in_prim_track_region,1,1,0
54,Int_t,phys_n_dead_discr_pair_two_mod_downstream_prim_track,1,1,0
55,Int_t,phys_n_dead_discr_pair_two_mod_upstream_prim_vtx,1,1,0
56,Int_t,phys_n_dead_discr_pair_upstream_prim_track_proj,1,1,0
57,Int_t,phys_vertex_is_fiducial,1,1,0
58,Int_t,proton_prong_PDG,1,1,0
59,Int_t,proton_prong_traj_ID,1,1,0
60,Int_t,slice_n_hits,1,1,0
61,Int_t,truth_has_michel_electron,1,1,0
62,Int_t,truth_improved_michel_electron,1,1,0
63,Double_t,dis_id_energy,1,1,0
64,Double_t,energy_from_mc,1,1,0
65,Double_t,energy_from_mc_fraction,1,1,0
66,Double_t,energy_from_mc_fraction_of_highest,1,1,0
67,Double_t,muon_iso_blobs_energy,1,1,0
68,Double_t,muon_minerva_trk_chi2PerDoF,1,1,0
69,Double_t,muon_phi,1,1,0
70,Double_t,muon_theta,1,1,0
71,Double_t,muon_thetaX,1,1,0
72,Double_t,muon_thetaY,1,1,0
73,Double_t,nonvtx_iso_blobs_energy,1,1,0
74,Double_t,nonvtx_iso_blobs_energy_all,1,1,0
75,Double_t,numi_bpm1,1,1,1
76,Double_t,numi_bpm2,1,1,1
77,Double_t,numi_bpm3,1,1,1
78,Double_t,numi_bpm4,1,1,1
79,Double_t,numi_bpm5,1,1,1
80,Double_t,numi_bpm6,1,1,1
81,Double_t,numi_horn_curr,1,1,1
82,Double_t,numi_pot,1,1,1
83,Double_t,numi_tor101,1,1,1
84,Double_t,numi_tortgt,1,1,1
85,Double_t,numi_tr101d,1,1,1
86,Double_t,numi_trtgtd,1,1,1
87,Double_t,numi_x,1,1,0
88,Double_t,numi_x_width,1,1,1
89,Double_t,numi_y,1,1,0
90,Double_t,numi_y_width,1,1,1
91,Double_t,part_response_recoil_em_id,1,1,0
92,Double_t,part_response_recoil_em_id_err,1,1,0
93,Double_t,part_response_recoil_em_od,1,1,0
94,Double_t,part_response_recoil_em_od_err,1,1,0
